code,Area Name,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other religions and persuasions (incl.Unclassified Sect.),Religion not stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jammu and Kashmir,12541302,3566674,8567485,35631,234848,112584,2490,1508,20082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Himachal Pradesh,6864602,6532765,149881,12646,79896,78659,1805,856,8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Punjab,27743338,10678138,535489,348230,16004754,33237,45040,10886,87564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chandigarh,1055450,852574,51447,8720,138329,1160,1960,246,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Uttarakhand,10086292,8368636,1406825,37781,236340,14926,9183,993,11608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Haryana,25351462,22171128,1781342,50353,1243752,7514,52613,2548,42212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Delhi,16787941,13712100,2158684,146093,570581,18449,166231,2197,13606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rajasthan,68548437,60657103,6215377,96430,872930,12185,622023,4676,67713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Uttar Pradesh,199812341,159312654,38483967,356448,643500,206285,213267,13598,582622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bihar,104099452,86078686,17557809,129247,23779,25453,18914,13437,252127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sikkim,610577,352662,9867,60522,1868,167216,314,16300,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arunachal Pradesh,1383727,401876,27045,418732,3287,162815,771,362553,6648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nagaland,1978502,173054,48963,1739651,1890,6759,2655,3214,2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Manipur,2855794,1181876,239836,1179043,1527,7084,1692,233767,10969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mizoram,1097206,30136,14832,956331,286,93411,376,808,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tripura,3673917,3063903,316042,159882,1070,125385,860,1514,5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Meghalaya,2966889,342078,130399,2213027,3045,9864,627,258271,9578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Assam,31205576,19180759,10679345,1165867,20672,54993,25949,27118,50873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,West Bengal,91276115,64385546,24654825,658618,63523,282898,60141,942297,228267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jharkhand,32988134,22376051,4793994,1418608,71422,8956,14974,4235786,68343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Odisha,41974218,39300341,911670,1161708,21991,13852,9420,478317,76919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chhattisgarh,25545198,23819789,514998,490542,70036,70467,61510,494594,23262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Madhya Pradesh,72626809,66007121,4774695,213282,151412,216052,567028,599594,97625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jammu and Kashmir,,,Arunachal Pradesh
24,Gujarat,60439692,53533988,5846761,316178,58246,30483,579654,16480,57902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikkim,,,,,,,Himachal Pradesh,,,Sikkim
25,Dadra and Nagar Haveli and Daman and Diu,586956,543007,32199,7933,389,851,1473,372,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Bengal,,,,Punjab,,,Punjab,,,West Bengal
26,Maharashtra,112374333,89703057,12971152,1080073,223247,6531200,1400349,178965,286290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assam,,,,Chandigarh ,,,Chandigarh ,,,Assam
27,Andhra Pradesh,84580777,74824149,8082412,1129784,40244,36692,53849,9547,404100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uttarakhand,,,,Uttarakhand,,,Uttarakhand,,,Uttarakhand
28,Karnataka,61095297,51317472,7893065,1142647,28773,95710,440280,11263,166087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagaland,,,,Haryana,,,Haryana,,,Nagaland
29,Goa,1458545,963877,121564,366130,1473,1095,1109,258,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manipur,,,,Delhi ,,,Delhi ,,,Manipur
30,Lakshadweep,64473,1788,62268,317,8,10,11,7,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mizoram,,,,Rajasthan,,,Rajasthan,,,Mizoram
31,Kerala,33406061,18282492,8873472,6141269,3814,4752,4489,7618,88155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tripura,,,,Uttar Pradesh ,,,Uttar Pradesh ,,,Tripura
32,Tamil Nadu,72147030,63188168,4229479,4418331,14601,11186,89265,7414,188586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meghalaya,,,,Bihar,,,Bihar,,,Meghalaya
33,Puducherry,1247953,1089409,75556,78550,297,451,1400,168,2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab,,,,Sikkim,,,Sikkim,,,Punjab
34,Andaman and Nicobar,380581,264296,32413,80984,1286,338,31,564,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajasthan,,,,Arunachal Pradesh  ,,,Arunachal Pradesh  ,,,Rajasthan
35,Telangana,35145632,29908931,4463495,456893,0,0,0,316310.688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gujarat,,,,Nagaland  ,,,Nagaland  ,,,Gujarat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Himachal Pradesh,,,,Manipur  ,,,Manipur  ,,,Himachal Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jammu and Kashmir,,,,Mizoram  ,,,Mizoram  ,,,Jammu and Kashmir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bihar,,,,Tripura  ,,,Tripura  ,,,Bihar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uttar Pradesh,,,,Meghalaya  ,,,Meghalaya  ,,,Uttar Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andhra Pradesh,,,,Assam  ,,,Assam  ,,,Andhra Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha,,,,West Bengal  ,,,West Bengal  ,,,Odisha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,Jharkhand  ,,,Jharkhand  ,,,Dadra and Nagar Haveli and Daman and Diu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharashtra,,,,Odisha  ,,,Odisha  ,,,Maharashtra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goa,,,,Chhattisgarh  ,,,Chhattisgarh  ,,,Goa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karnataka,,,,Madhya Pradesh  ,,,Madhya Pradesh  ,,,Karnataka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala,,,,Gujarat  ,,,Gujarat  ,,,Kerala
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puducherry,,,,Daman and Diu  ,,,Daman and Diu  ,,,Puducherry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamil Nadu,,,,Dadra and Nagar Haveli  ,,,Dadra and Nagar Haveli  ,,,Tamil Nadu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakshadweep,,,,Maharashtra  ,,,Maharashtra  ,,,Lakshadweep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andaman and Nicobar,,,,Andhra Pradesh  ,,,Andhra Pradesh  ,,,Andaman and Nicobar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jharkhand,,,,Karnataka  ,,,Karnataka  ,,,Jharkhand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi,,,,Goa  ,,,Goa  ,,,Delhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chandigarh,,,,Lakshadweep  ,,,Lakshadweep  ,,,Chandigarh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madhya Pradesh,,,,Kerala  ,,,Kerala  ,,,Madhya Pradesh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chhattisgarh,,,,Tamil Nadu  ,,,Tamil Nadu  ,,,Chhattisgarh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haryana,,,,Puducherry  ,,,Puducherry  ,,,Haryana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telangana,,,,Andaman and Nicobar Islands  ,,,Andaman and Nicobar Islands  ,,,Telangana
